Date,Gdp Per Capita
2002-05-14,493.845
2002-05-16,494.738
2002-05-19,495.631
2002-05-21,496.524
2002-05-23,497.416
2002-05-26,498.309
2002-05-28,499.202
2002-05-30,500.095
2002-06-02,500.095
2002-06-07,500.095
2002-06-13,500.988
2002-06-19,501.881
2002-06-24,502.774
2002-06-30,503.666
2002-07-06,504.559
2002-07-11,505.452
2002-07-17,506.345
2002-07-23,506.345
2002-07-25,506.345
2002-07-27,507.238
2002-07-29,508.131
2002-07-31,509.024
2002-08-03,509.916
2002-08-05,510.809
2002-08-07,511.702
2002-08-09,512.595
2002-08-12,512.595
2002-08-15,512.595
2002-08-18,513.488
2002-08-22,514.381
2002-08-25,515.274
2002-08-29,516.166
2002-09-01,517.059
2002-09-05,517.952
2002-09-08,518.845
2002-09-12,518.845
2002-09-17,518.845
2002-09-22,519.738
2002-09-28,520.631
2002-10-03,521.524
2002-10-09,522.416
2002-10-14,523.309
2002-10-20,524.202
2002-10-25,525.095
2002-10-31,525.095
2002-11-03,525.095
2002-11-06,525.988
2002-11-10,526.881
2002-11-13,527.774
2002-11-16,528.666
2002-11-20,529.559
2002-11-23,530.452
2002-11-26,531.345
2002-11-30,531.345
2002-12-02,531.345
2002-12-04,532.238
2002-12-06,533.131
2002-12-08,534.024
2002-12-11,534.916
2002-12-13,535.809
2002-12-15,536.702
2002-12-17,537.595
2002-12-20,537.595
2002-12-24,537.595
2002-12-29,538.488
2003-01-02,539.381
2003-01-07,540.274
2003-01-11,541.166
2003-01-16,542.059
2003-01-20,542.952
2003-01-25,543.845
2003-01-30,543.845
2003-02-01,543.845
2003-02-03,544.801
2003-02-05,545.756
2003-02-07,546.712
2003-02-10,547.667
2003-02-12,548.623
2003-02-14,549.578
2003-02-16,550.534
2003-02-19,550.534
2003-02-21,550.534
2003-02-23,551.489
2003-02-25,552.445
2003-02-27,553.4
2003-03-01,554.356
2003-03-03,555.311
2003-03-05,556.267
2003-03-07,557.222
2003-03-09,557.222
2003-03-14,557.222
2003-03-19,558.178
2003-03-24,559.133
2003-03-29,560.089
2003-04-03,561.044
2003-04-08,562.0
2003-04-13,562.955
2003-04-18,563.911
2003-04-23,563.911
2003-04-25,563.911
2003-04-27,564.866
2003-04-29,565.822
2003-05-01,566.777
2003-05-03,567.733
2003-05-05,568.688
2003-05-07,569.644
2003-05-09,570.599
2003-05-12,570.599
2003-05-14,570.599
2003-05-16,571.555
2003-05-19,572.51
2003-05-21,573.466
2003-05-23,574.421
2003-05-26,575.377
2003-05-28,576.332
2003-05-30,577.288
2003-06-02,577.288
2003-06-07,577.288
2003-06-13,578.243
2003-06-19,579.199
2003-06-24,580.154
2003-06-30,581.11
2003-07-06,582.065
2003-07-11,583.021
2003-07-17,583.976
2003-07-23,583.976
2003-07-25,583.976
2003-07-27,584.932
2003-07-29,585.887
2003-07-31,586.843
2003-08-03,587.798
2003-08-05,588.754
2003-08-07,589.709
2003-08-09,590.665
2003-08-12,590.665
2003-08-15,590.665
2003-08-18,591.621
2003-08-22,592.576
2003-08-25,593.532
2003-08-29,594.487
2003-09-01,595.443
2003-09-05,596.398
2003-09-08,597.354
2003-09-12,597.354
2003-09-17,597.354
2003-09-22,598.309
2003-09-28,599.265
2003-10-03,600.22
2003-10-09,601.176
2003-10-14,602.131
2003-10-20,603.087
2003-10-25,604.042
2003-10-31,604.042
2003-11-03,604.042
2003-11-06,604.998
2003-11-10,605.953
2003-11-13,606.909
2003-11-16,607.864
2003-11-20,608.82
2003-11-23,609.775
2003-11-26,610.731
2003-11-30,610.731
2003-12-02,610.731
2003-12-04,611.686
2003-12-06,612.642
2003-12-08,613.597
2003-12-11,614.553
2003-12-13,615.508
2003-12-15,616.464
2003-12-17,617.419
2003-12-20,617.419
2003-12-24,617.419
2003-12-29,618.375
2004-01-02,619.33
2004-01-07,620.286
2004-01-11,621.241
2004-01-16,622.197
2004-01-20,623.152
2004-01-25,624.108
2004-01-30,624.108
2004-02-01,624.108
2004-02-03,625.137
2004-02-05,626.165
2004-02-07,627.194
2004-02-10,628.222
2004-02-12,629.251
2004-02-14,630.279
2004-02-16,631.308
2004-02-19,631.308
2004-02-21,631.308
2004-02-23,632.337
2004-02-25,633.365
2004-02-27,634.394
2004-02-29,635.423
2004-03-02,636.452
2004-03-04,637.48
2004-03-06,638.509
2004-03-09,638.509
2004-03-14,638.509
2004-03-19,639.538
2004-03-24,640.566
2004-03-29,641.595
2004-04-03,642.623
2004-04-08,643.652
2004-04-13,644.68
2004-04-18,645.709
2004-04-23,645.709
2004-04-25,645.709
2004-04-27,646.738
2004-04-29,647.766
2004-05-01,648.795
2004-05-03,649.823
2004-05-05,650.852
2004-05-07,651.88
2004-05-09,652.909
2004-05-12,652.909
2004-05-14,652.909
2004-05-16,653.938
2004-05-19,654.966
2004-05-21,655.995
2004-05-23,657.024
2004-05-26,658.053
2004-05-28,659.081
2004-05-30,660.11
2004-06-02,660.11
2004-06-07,660.11
2004-06-13,661.139
2004-06-19,662.167
2004-06-24,663.196
2004-06-30,664.224
2004-07-06,665.253
2004-07-11,666.281
2004-07-17,667.31
2004-07-23,667.31
2004-07-25,667.31
2004-07-27,668.339
2004-07-29,669.367
2004-07-31,670.396
2004-08-03,671.424
2004-08-05,672.453
2004-08-07,673.481
2004-08-09,674.51
2004-08-12,674.51
2004-08-15,674.51
2004-08-18,675.539
2004-08-22,676.567
2004-08-25,677.596
2004-08-29,678.625
2004-09-01,679.654
2004-09-05,680.682
2004-09-08,681.711
2004-09-12,681.711
2004-09-17,681.711
