Date,Average,1 Year,2 Year,3 Year,5 Year
12/16/2012,8,6.775,6.849,7.25,7.572
12/18/2012,8,6.775,6.85,7.25,7.573
12/22/2012,8,6.775,6.85,7.25,7.574
12/27/2012,7.964,6.775,6.85,7.25,7.574
1/1/2013,7.929,6.775,6.85,7.25,7.575
1/5/2013,7.893,6.776,6.851,7.25,7.575
1/10/2013,7.857,6.778,6.852,7.25,7.576
1/15/2013,7.821,6.779,6.853,7.25,7.576
1/19/2013,7.786,6.78,6.854,7.25,7.576
1/24/2013,7.75,6.782,6.855,7.25,7.577
1/29/2013,7.75,6.783,6.856,7.25,7.577
2/3/2013,7.75,6.785,6.857,7.25,7.577
2/8/2013,7.732,6.786,6.858,7.25,7.578
2/14/2013,7.714,6.787,6.859,7.25,7.578
2/19/2013,7.696,6.789,6.86,7.25,7.578
2/25/2013,7.679,6.79,6.861,7.25,7.579
3/2/2013,7.661,6.791,6.862,7.25,7.579
3/8/2013,7.643,6.793,6.863,7.25,7.579
3/13/2013,7.625,6.794,6.864,7.25,7.58
3/19/2013,7.625,6.796,6.865,7.25,7.58
3/24/2013,7.625,6.797,6.866,7.25,7.58
3/29/2013,7.589,6.798,6.867,7.25,7.581
4/3/2013,7.554,6.8,6.868,7.25,7.581
4/8/2013,7.518,6.801,6.87,7.25,7.582
4/13/2013,7.482,6.802,6.871,7.25,7.582
4/18/2013,7.446,6.804,6.872,7.25,7.582
4/23/2013,7.411,6.805,6.873,7.25,7.583
4/28/2013,7.375,6.807,6.874,7.25,7.583
5/3/2013,7.375,6.808,6.875,7.25,7.583
5/8/2013,7.375,6.809,6.876,7.25,7.584
5/13/2013,7.357,6.811,6.877,7.25,7.584
5/18/2013,7.339,6.812,6.878,7.25,7.584
5/23/2013,7.321,6.813,6.879,7.25,7.585
5/28/2013,7.304,6.815,6.88,7.25,7.585
6/2/2013,7.286,6.816,6.881,7.25,7.585
6/7/2013,7.268,6.817,6.882,7.25,7.586
6/12/2013,7.25,6.819,6.883,7.25,7.586
6/17/2013,7.25,6.82,6.884,7.25,7.586
6/21/2013,7.25,6.822,6.885,7.25,7.587
6/26/2013,7.25,6.823,6.886,7.25,7.587
7/1/2013,7.25,6.824,6.887,7.25,7.587
7/6/2013,7.25,6.826,6.888,7.25,7.588
7/10/2013,7.25,6.827,6.889,7.25,7.588
7/15/2013,7.25,6.828,6.89,7.25,7.588
7/20/2013,7.25,6.83,6.891,7.25,7.589
7/25/2013,7.25,6.831,6.892,7.25,7.589
7/30/2013,7.25,6.833,6.893,7.25,7.589
8/4/2013,7.375,6.834,6.894,7.25,7.59
8/10/2013,7.357,6.835,6.895,7.25,7.59
8/16/2013,7.339,6.837,6.896,7.25,7.59
8/22/2013,7.321,6.838,6.897,7.25,7.591
8/27/2013,7.304,6.839,6.898,7.25,7.591
9/2/2013,7.286,6.841,6.899,7.25,7.591
9/8/2013,7.268,6.842,6.9,7.25,7.592
9/14/2013,7.25,6.843,6.901,7.25,7.592
9/20/2013,7.375,6.845,6.902,7.25,7.592
9/24/2013,7.625,6.846,6.903,7.25,7.593
9/28/2013,7.589,6.848,6.904,7.25,7.593
10/3/2013,7.554,6.849,6.905,7.25,7.593
10/7/2013,7.518,6.85,6.907,7.25,7.594
10/11/2013,7.482,6.852,6.908,7.25,7.594
10/16/2013,7.446,6.853,6.909,7.25,7.595
10/20/2013,7.411,6.854,6.91,7.25,7.595
10/24/2013,7.375,6.856,6.911,7.25,7.595
10/29/2013,7.625,6.857,6.912,7.25,7.596
11/3/2013,7.75,6.859,6.913,7.25,7.596
11/9/2013,7.732,6.86,6.914,7.25,7.596
11/14/2013,7.714,6.861,6.915,7.25,7.597
11/20/2013,7.696,6.863,6.916,7.25,7.597
11/25/2013,7.679,6.864,6.917,7.25,7.597
12/1/2013,7.661,6.865,6.918,7.25,7.598
12/6/2013,7.643,6.867,6.919,7.25,7.598
12/12/2013,7.625,6.868,6.92,7.25,7.598
12/18/2013,7.75,6.87,6.921,7.25,7.599
12/22/2013,7.875,6.871,6.922,7.25,7.599
12/27/2013,7.857,6.872,6.923,7.25,7.599
12/31/2013,7.839,6.874,6.924,7.25,7.6
1/5/2014,7.821,6.875,6.925,7.25,7.6
1/9/2014,7.804,6.876,6.926,7.25,7.602
1/14/2014,7.786,6.877,6.927,7.25,7.604
1/18/2014,7.768,6.878,6.928,7.25,7.607
1/23/2014,7.75,6.879,6.929,7.25,7.609
1/28/2014,7.875,6.879,6.929,7.25,7.611
2/4/2014,8,6.88,6.93,7.25,7.613
2/11/2014,7.982,6.881,6.931,7.25,7.615
2/18/2014,7.964,6.882,6.932,7.25,7.618
2/25/2014,7.946,6.883,6.933,7.25,7.62
3/4/2014,7.929,6.884,6.934,7.25,7.622
3/11/2014,7.911,6.885,6.935,7.25,7.624
3/18/2014,7.893,6.886,6.936,7.25,7.626
3/25/2014,7.875,6.886,6.936,7.25,7.629
4/1/2014,8,6.887,6.937,7.25,7.631
4/8/2014,8,6.888,6.938,7.25,7.633
4/15/2014,8,6.889,6.939,7.25,7.635
4/22/2014,8,6.89,6.94,7.25,7.637
4/29/2014,8,6.891,6.941,7.25,7.639
5/6/2014,8,6.892,6.942,7.25,7.642
5/13/2014,8,6.893,6.943,7.25,7.644
5/20/2014,8,6.893,6.943,7.25,7.646
5/27/2014,8,6.894,6.944,7.25,7.648
6/3/2014,8,6.895,6.945,7.25,7.65
6/10/2014,8,6.896,6.946,7.25,7.653
6/17/2014,8,6.897,6.947,7.25,7.655
6/24/2014,8,6.898,6.948,7.25,7.657
7/1/2014,8,6.899,6.949,7.25,7.659
7/8/2014,8,6.9,6.95,7.25,7.661
7/15/2014,8,6.9,6.95,7.25,7.664
7/22/2014,8,6.901,6.951,7.25,7.666
7/29/2014,8,6.902,6.952,7.25,7.668
8/5/2014,8,6.903,6.953,7.25,7.67
8/11/2014,8,6.904,6.954,7.25,7.672
8/17/2014,8,6.905,6.955,7.25,7.675
8/23/2014,8,6.906,6.956,7.25,7.677
8/29/2014,8,6.907,6.957,7.25,7.679
9/5/2014,8,6.907,6.957,7.25,7.681
9/11/2014,8,6.908,6.958,7.25,7.683
9/17/2014,8,6.909,6.959,7.25,7.686
9/23/2014,8,6.91,6.96,7.25,7.688
9/30/2014,8,6.911,6.961,7.25,7.69
10/7/2014,8,6.912,6.962,7.25,7.692
10/14/2014,8,6.913,6.963,7.25,7.694
10/21/2014,8,6.914,6.964,7.25,7.696
10/28/2014,8,6.914,6.964,7.25,7.699
11/4/2014,8,6.915,6.965,7.25,7.701
11/11/2014,8,6.916,6.966,7.25,7.703
11/18/2014,8,6.917,6.967,7.25,7.705
11/25/2014,8,6.918,6.968,7.25,7.707
12/2/2014,8,6.919,6.969,7.25,7.71
12/6/2014,8,6.92,6.97,7.25,7.712
12/11/2014,7.982,6.921,6.971,7.25,7.714
12/16/2014,7.964,6.921,6.971,7.25,7.716
12/21/2014,7.946,6.922,6.972,7.25,7.718
12/26/2014,7.929,6.923,6.973,7.25,7.721
12/31/2014,7.911,6.924,6.974,7.25,7.723
1/5/2015,7.893,6.925,6.975,7.25,7.725
1/10/2015,7.875,6.926,6.975,7.251,7.727
1/15/2015,7.875,6.927,6.976,7.253,7.729
1/17/2015,7.875,6.928,6.976,7.254,7.73
1/19/2015,7.857,6.929,6.976,7.256,7.732
1/21/2015,7.839,6.93,6.977,7.257,7.734
1/23/2015,7.821,6.931,6.977,7.259,7.736
1/25/2015,7.804,6.932,6.978,7.26,7.738
1/27/2015,7.786,6.934,6.978,7.261,7.739
1/29/2015,7.768,6.935,6.978,7.263,7.741
1/31/2015,7.75,6.936,6.979,7.264,7.743
2/3/2015,7.75,6.937,6.979,7.266,7.745
2/6/2015,7.75,6.938,6.979,7.267,7.746
2/9/2015,7.732,6.939,6.98,7.269,7.748
2/12/2015,7.714,6.94,6.98,7.27,7.75
2/15/2015,7.696,6.941,6.98,7.271,7.752
2/19/2015,7.679,6.942,6.981,7.273,7.754
2/22/2015,7.661,6.943,6.981,7.274,7.755
2/25/2015,7.643,6.944,6.981,7.276,7.757
2/28/2015,7.625,6.945,6.982,7.277,7.759
3/4/2015,7.625,6.946,6.982,7.279,7.761
3/7/2015,7.625,6.948,6.982,7.28,7.762
3/11/2015,7.607,6.949,6.983,7.281,7.764
3/15/2015,7.589,6.95,6.983,7.283,7.766
3/19/2015,7.571,6.951,6.984,7.284,7.768
3/22/2015,7.554,6.952,6.984,7.286,7.77
3/26/2015,7.536,6.953,6.984,7.287,7.771
3/30/2015,7.518,6.954,6.985,7.289,7.773
4/3/2015,7.5,6.955,6.985,7.29,7.775
4/7/2015,7.5,6.956,6.985,7.291,7.777
4/13/2015,7.5,6.957,6.986,7.293,7.779
4/19/2015,7.482,6.958,6.986,7.294,7.78
4/25/2015,7.464,6.959,6.986,7.296,7.782
5/1/2015,7.446,6.96,6.987,7.297,7.784
5/8/2015,7.429,6.961,6.987,7.299,7.786
5/14/2015,7.411,6.962,6.988,7.3,7.788
5/20/2015,7.393,6.964,6.988,7.301,7.789
5/26/2015,7.375,6.965,6.988,7.303,7.791
6/2/2015,7.375,6.966,6.989,7.304,7.793
6/9/2015,7.375,6.967,6.989,7.306,7.795
6/16/2015,7.357,6.968,6.989,7.307,7.796
6/23/2015,7.339,6.969,6.99,7.309,7.798
6/30/2015,7.321,6.97,6.99,7.31,7.8
7/7/2015,7.304,6.971,6.99,7.311,7.802
7/14/2015,7.286,6.972,6.991,7.313,7.804
7/21/2015,7.268,6.973,6.991,7.314,7.805
7/28/2015,7.25,6.974,6.991,7.316,7.807
8/4/2015,7.25,6.975,6.992,7.317,7.809
8/10/2015,7.25,6.976,6.992,7.319,7.811
8/16/2015,7.214,6.978,6.992,7.32,7.812
8/22/2015,7.179,6.979,6.993,7.321,7.814
8/28/2015,7.143,6.98,6.993,7.323,7.816
9/4/2015,7.107,6.981,6.994,7.324,7.818
9/10/2015,7.071,6.982,6.994,7.326,7.82
9/16/2015,7.036,6.983,6.994,7.327,7.821
9/22/2015,7,6.984,6.995,7.329,7.823
9/29/2015,7,6.985,6.995,7.33,7.825
10/6/2015,7,6.986,6.995,7.331,7.827
10/13/2015,6.964,6.987,6.996,7.333,7.829
10/20/2015,6.929,6.988,6.996,7.334,7.83
10/27/2015,6.893,6.989,6.996,7.336,7.832
11/3/2015,6.857,6.99,6.997,7.337,7.834
11/10/2015,6.821,6.991,6.997,7.339,7.836
11/17/2015,6.786,6.992,6.998,7.34,7.837
11/24/2015,6.75,6.994,6.998,7.341,7.839
12/1/2015,6.75,6.995,6.998,7.343,7.841
12/8/2015,6.75,6.996,6.999,7.344,7.843
12/15/2015,6.75,6.997,6.999,7.346,7.845
12/22/2015,6.75,6.998,6.999,7.347,7.846
12/29/2015,6.75,6.999,7,7.349,7.848
1/5/2016,6.75,7,7,7.35,7.85
1/12/2016,6.75,7.005,7.009,7.362,7.858
1/19/2016,6.75,7.009,7.019,7.375,7.867
1/26/2016,6.75,7.014,7.028,7.387,7.875
2/2/2016,6.75,7.019,7.038,7.399,7.884
2/9/2016,6.75,7.024,7.047,7.411,7.892
2/16/2016,6.732,7.028,7.057,7.424,7.901
2/23/2016,6.714,7.033,7.066,7.436,7.909
3/1/2016,6.696,7.038,7.075,7.448,7.918
3/8/2016,6.679,7.042,7.085,7.46,7.926
3/15/2016,6.661,7.047,7.094,7.473,7.935
3/22/2016,6.643,7.052,7.104,7.485,7.943
3/29/2016,6.625,7.057,7.113,7.497,7.952
4/5/2016,6.625,7.061,7.123,7.509,7.96
4/12/2016,6.625,7.066,7.132,7.522,7.969
4/19/2016,6.607,7.071,7.142,7.534,7.977
4/26/2016,6.589,7.075,7.151,7.546,7.986
5/3/2016,6.571,7.08,7.16,7.558,7.994
5/10/2016,6.554,7.085,7.17,7.571,8.003
5/17/2016,6.536,7.09,7.179,7.583,8.011
5/24/2016,6.518,7.094,7.189,7.595,8.02
5/31/2016,6.5,7.099,7.198,7.608,8.028
6/7/2016,6.5,7.104,7.208,7.62,8.037
6/14/2016,6.5,7.108,7.217,7.632,8.045
6/21/2016,6.5,7.113,7.226,7.644,8.054
6/28/2016,6.5,7.118,7.236,7.657,8.062
7/5/2016,6.5,7.123,7.245,7.669,8.071
7/12/2016,6.5,7.127,7.255,7.681,8.079
7/19/2016,6.5,7.132,7.264,7.693,8.088
7/26/2016,6.5,7.137,7.274,7.706,8.096
8/2/2016,6.5,7.142,7.283,7.718,8.105
8/9/2016,6.5,7.146,7.292,7.73,8.113
8/15/2016,6.5,7.151,7.302,7.742,8.122
8/21/2016,6.482,7.156,7.311,7.755,8.13
8/27/2016,6.464,7.16,7.321,7.767,8.139
9/2/2016,6.446,7.165,7.33,7.779,8.147
9/9/2016,6.429,7.17,7.34,7.792,8.156
9/15/2016,6.411,7.175,7.349,7.804,8.164
9/21/2016,6.393,7.179,7.358,7.816,8.173
9/27/2016,6.375,7.184,7.368,7.828,8.181
10/4/2016,6.375,7.189,7.377,7.841,8.19
10/11/2016,6.375,7.193,7.387,7.853,8.198
10/18/2016,6.357,7.198,7.396,7.865,8.207
10/25/2016,6.339,7.203,7.406,7.877,8.215
11/1/2016,6.321,7.208,7.415,7.89,8.224
11/8/2016,6.304,7.212,7.425,7.902,8.232
11/15/2016,6.286,7.217,7.434,7.914,8.241
11/22/2016,6.268,7.222,7.443,7.926,8.249
11/29/2016,6.25,7.226,7.453,7.939,8.258
12/7/2016,6.25,7.231,7.462,7.951,8.266
12/14/2016,6.25,7.236,7.472,7.963,8.275
12/21/2016,6.25,7.241,7.481,7.975,8.283
12/28/2016,6.25,7.245,7.491,7.988,8.292
1/4/2017,6.25,7.25,7.5,8,8.3
1/11/2017,6.25,7.255,7.506,8,8.3
1/18/2017,6.25,7.259,7.511,8,8.3
1/25/2017,6.25,7.264,7.517,8,8.3
2/1/2017,6.25,7.269,7.522,8,8.3
2/8/2017,6.25,7.273,7.528,8,8.3
2/14/2017,6.25,7.278,7.533,8,8.3
2/20/2017,6.25,7.282,7.539,8,8.3
2/27/2017,6.25,7.287,7.544,8,8.3
3/5/2017,6.25,7.292,7.55,8,8.3
3/11/2017,6.25,7.296,7.556,8,8.3
3/18/2017,6.25,7.301,7.561,8,8.3
3/24/2017,6.25,7.306,7.567,8,8.3
3/30/2017,6.25,7.31,7.572,8,8.3
4/6/2017,6.25,7.315,7.578,8,8.3
4/12/2017,6.25,7.319,7.583,8,8.3
4/19/2017,6.25,7.324,7.589,8,8.3
4/26/2017,6.25,7.329,7.594,8,8.3
5/3/2017,6.25,7.333,7.6,8,8.3
5/10/2017,6.25,7.338,7.606,8,8.3
5/17/2017,6.25,7.343,7.611,8,8.3
5/24/2017,6.25,7.347,7.617,8,8.3
5/31/2017,6.25,7.352,7.622,8,8.3
6/7/2017,6.25,7.356,7.628,8,8.3
6/13/2017,6.25,7.361,7.633,8,8.3
6/19/2017,6.232,7.366,7.639,8,8.3
6/25/2017,6.214,7.37,7.644,8,8.3
7/1/2017,6.196,7.375,7.65,8,8.3
7/8/2017,6.179,7.38,7.656,8,8.3
7/14/2017,6.161,7.384,7.661,8,8.3
7/20/2017,6.143,7.389,7.667,8,8.3
7/26/2017,6.125,7.394,7.672,8,8.3
8/2/2017,6.125,7.398,7.678,8,8.3
8/9/2017,6.125,7.403,7.683,8,8.3
8/16/2017,6.107,7.407,7.689,8,8.3
8/23/2017,6.089,7.412,7.694,8,8.3
8/30/2017,6.071,7.417,7.7,8,8.3
9/6/2017,6.054,7.421,7.706,8,8.3
9/13/2017,6.036,7.426,7.711,8,8.3
9/20/2017,6.018,7.431,7.717,8,8.3
9/27/2017,6,7.435,7.722,8,8.3
10/4/2017,6,7.44,7.728,8,8.3
10/11/2017,6,7.444,7.733,8,8.3
10/18/2017,6,7.449,7.739,8,8.3
10/25/2017,6,7.454,7.744,8,8.3
11/1/2017,6,7.458,7.75,8,8.3
11/8/2017,6,7.463,7.756,8,8.3
11/15/2017,6,7.468,7.761,8,8.3
11/22/2017,6,7.472,7.767,8,8.3
11/29/2017,6,7.477,7.772,8,8.3
12/6/2017,6,7.481,7.778,8,8.3
12/13/2017,6,7.486,7.783,8,8.3
12/20/2017,6,7.491,7.789,8,8.3
12/27/2017,6,7.495,7.794,8,8.3
1/3/2018,6,7.5,7.8,8,8.3
1/10/2018,6,7.504,7.8,8.005,8.302
1/17/2018,6,7.507,7.8,8.009,8.304
1/24/2018,6,7.511,7.8,8.014,8.306
1/31/2018,6,7.515,7.8,8.019,8.307
2/7/2018,6,7.519,7.8,8.023,8.309
2/13/2018,6,7.522,7.8,8.028,8.311
2/19/2018,6,7.526,7.8,8.032,8.313
2/26/2018,6,7.53,7.8,8.037,8.315
3/4/2018,6,7.533,7.8,8.042,8.317
3/10/2018,6,7.537,7.8,8.046,8.319
3/17/2018,6,7.541,7.8,8.051,8.32
3/23/2018,6,7.544,7.8,8.056,8.322
3/29/2018,6,7.548,7.8,8.06,8.324
4/5/2018,6,7.552,7.8,8.065,8.326
4/11/2018,6.125,7.556,7.8,8.069,8.328
4/18/2018,6.107,7.559,7.8,8.074,8.33
4/25/2018,6.089,7.563,7.8,8.079,8.331
5/2/2018,6.071,7.567,7.8,8.083,8.333
5/9/2018,6.054,7.57,7.8,8.088,8.335
5/16/2018,6.036,7.574,7.8,8.093,8.337
5/23/2018,6.018,7.578,7.8,8.097,8.339
5/30/2018,6,7.581,7.8,8.102,8.341
6/6/2018,6.125,7.585,7.8,8.106,8.343
6/12/2018,6.375,7.589,7.8,8.111,8.344
6/18/2018,6.339,7.593,7.8,8.116,8.346
6/24/2018,6.304,7.596,7.8,8.12,8.348
6/30/2018,6.268,7.6,7.8,8.125,8.35
7/7/2018,6.232,7.604,7.8,8.13,8.352
7/13/2018,6.196,7.607,7.8,8.134,8.354
7/19/2018,6.161,7.611,7.8,8.139,8.356
7/25/2018,6.125,7.615,7.8,8.144,8.357
8/1/2018,6.375,7.619,7.8,8.148,8.359
8/8/2018,6.5,7.622,7.8,8.153,8.361
8/15/2018,6.482,7.626,7.8,8.157,8.363
8/22/2018,6.464,7.63,7.8,8.162,8.365
8/29/2018,6.446,7.633,7.8,8.167,8.367
9/6/2018,6.429,7.637,7.8,8.171,8.369
9/13/2018,6.411,7.641,7.8,8.176,8.37
9/20/2018,6.393,7.644,7.8,8.181,8.372
9/27/2018,6.375,7.648,7.8,8.185,8.374
10/5/2018,6.5,7.652,7.8,8.19,8.376
10/11/2018,6.5,7.656,7.8,8.194,8.378
10/18/2018,6.5,7.659,7.8,8.199,8.38
10/25/2018,6.5,7.663,7.8,8.204,8.381
11/1/2018,6.5,7.667,7.8,8.208,8.383
11/7/2018,6.5,7.67,7.8,8.213,8.385
11/14/2018,6.5,7.674,7.8,8.218,8.387
11/21/2018,6.5,7.678,7.8,8.222,8.389
11/28/2018,6.5,7.681,7.8,8.227,8.391
12/5/2018,6.5,7.685,7.8,8.231,8.393
12/12/2018,6.5,7.689,7.8,8.236,8.394
12/19/2018,6.482,7.693,7.8,8.241,8.396
12/26/2018,6.464,7.696,7.8,8.245,8.398
1/2/2019,6.446,7.7,7.8,8.25,8.4
1/9/2019,6.429,7.7,7.804,8.251,8.402
1/16/2019,6.411,7.7,7.807,8.252,8.404
1/23/2019,6.393,7.7,7.811,8.253,8.406
1/30/2019,6.375,7.7,7.815,8.254,8.407
2/7/2019,6.375,7.7,7.819,8.255,8.409
2/13/2019,6.375,7.7,7.822,8.256,8.411
2/19/2019,6.339,7.7,7.826,8.256,8.413
2/25/2019,6.304,7.7,7.83,8.257,8.415
3/3/2019,6.268,7.7,7.833,8.258,8.417
3/10/2019,6.232,7.7,7.837,8.259,8.419
3/16/2019,6.196,7.7,7.841,8.26,8.42
3/22/2019,6.161,7.7,7.844,8.261,8.422
3/28/2019,6.125,7.7,7.848,8.262,8.424
4/4/2019,6.125,7.7,7.852,8.263,8.426
4/11/2019,6.125,7.7,7.856,8.264,8.428
4/18/2019,6.089,7.7,7.859,8.265,8.43
4/25/2019,6.054,7.7,7.863,8.266,8.431
5/2/2019,6.018,7.7,7.867,8.267,8.433
5/9/2019,5.982,7.7,7.87,8.268,8.435
5/16/2019,5.946,7.7,7.874,8.269,8.437
5/23/2019,5.911,7.7,7.878,8.269,8.439
5/30/2019,5.875,7.7,7.881,8.27,8.441
6/6/2019,5.875,7.7,7.885,8.271,8.443
6/12/2019,5.875,7.7,7.889,8.272,8.444
6/19/2019,5.832,7.7,7.893,8.273,8.446
6/26/2019,5.789,7.7,7.896,8.274,8.448
7/3/2019,5.746,7.7,7.9,8.275,8.45
7/10/2019,5.704,7.7,7.904,8.276,8.452
7/17/2019,5.661,7.7,7.907,8.277,8.454
7/24/2019,5.618,7.7,7.911,8.278,8.456
7/31/2019,5.575,7.7,7.915,8.279,8.457
8/7/2019,5.575,7.7,7.919,8.28,8.459
8/13/2019,5.575,7.7,7.922,8.281,8.461
8/19/2019,5.532,7.7,7.926,8.281,8.463
8/26/2019,5.489,7.7,7.93,8.282,8.465
9/1/2019,5.446,7.7,7.933,8.283,8.467
9/8/2019,5.404,7.7,7.937,8.284,8.469
9/14/2019,5.361,7.7,7.941,8.285,8.47
9/21/2019,5.318,7.7,7.944,8.286,8.472
9/27/2019,5.275,7.7,7.948,8.287,8.474
10/4/2019,5.275,7.7,7.952,8.288,8.476
10/10/2019,5.275,7.7,7.956,8.289,8.478
10/17/2019,5.257,7.7,7.959,8.29,8.48
10/24/2019,5.239,7.7,7.963,8.291,8.481
10/31/2019,5.221,7.7,7.967,8.292,8.483
11/7/2019,5.204,7.7,7.97,8.293,8.485
11/14/2019,5.186,7.7,7.974,8.294,8.487
11/21/2019,5.168,7.7,7.978,8.294,8.489
11/28/2019,5.15,7.7,7.981,8.295,8.491
12/5/2019,5.15,7.7,7.985,8.296,8.493
12/12/2019,5.15,7.7,7.989,8.297,8.494
12/19/2019,5.15,7.7,7.993,8.298,8.496
12/26/2019,5.15,7.7,7.996,8.299,8.498
1/2/2020,5.15,7.7,8,8.3,8.5
1/9/2020,5.15,7.709,8.004,8.302,8.5
1/16/2020,5.15,7.719,8.007,8.304,8.5
1/23/2020,5.15,7.728,8.011,8.306,8.5
1/30/2020,5.15,7.737,8.015,8.307,8.5
2/6/2020,5.15,7.746,8.019,8.309,8.5
2/11/2020,5.15,7.756,8.022,8.311,8.5
2/17/2020,5.096,7.765,8.026,8.313,8.5
2/22/2020,5.043,7.774,8.03,8.315,8.5
2/28/2020,4.989,7.783,8.033,8.317,8.5
3/4/2020,4.936,7.793,8.037,8.319,8.5
3/10/2020,4.882,7.802,8.041,8.32,8.5
3/15/2020,4.829,7.811,8.044,8.322,8.5
3/21/2020,4.775,7.82,8.048,8.324,8.5
3/27/2020,4.775,7.83,8.052,8.326,8.5
4/2/2020,4.775,7.839,8.056,8.328,8.5
4/8/2020,4.664,7.848,8.059,8.33,8.5
4/14/2020,4.554,7.857,8.063,8.331,8.5
4/20/2020,4.443,7.867,8.067,8.333,8.5
4/27/2020,4.332,7.876,8.07,8.335,8.5
5/3/2020,4.221,7.885,8.074,8.337,8.5
5/9/2020,4.111,7.894,8.078,8.339,8.5
5/15/2020,4,7.904,8.081,8.341,8.5
5/22/2020,4,7.913,8.085,8.343,8.5
5/30/2020,4,7.922,8.089,8.344,8.5
6/7/2020,4,7.931,8.093,8.346,8.5
6/16/2020,4,7.941,8.096,8.348,8.5
6/24/2020,4,7.95,8.1,8.35,8.5
7/3/2020,4,7.959,8.104,8.352,8.5
7/11/2020,4,7.969,8.107,8.354,8.5
7/20/2020,4,7.978,8.111,8.356,8.5
7/28/2020,4,7.987,8.115,8.357,8.5
8/6/2020,4,7.996,8.119,8.359,8.5
8/13/2020,4,8.006,8.122,8.361,8.5
8/20/2020,4,8.015,8.126,8.363,8.5
8/27/2020,4,8.024,8.13,8.365,8.5
9/3/2020,4,8.033,8.133,8.367,8.5
9/10/2020,4,8.043,8.137,8.369,8.5
9/17/2020,4,8.052,8.141,8.37,8.5
9/24/2020,4,8.061,8.144,8.372,8.5
10/1/2020,4,8.07,8.148,8.374,8.5
10/9/2020,4,8.08,8.152,8.376,8.5
10/15/2020,4,8.089,8.156,8.378,8.5
10/21/2020,4,8.098,8.159,8.38,8.5
10/27/2020,4,8.107,8.163,8.381,8.5
11/2/2020,4,8.117,8.167,8.383,8.5
11/9/2020,4,8.126,8.17,8.385,8.5
11/15/2020,4,8.135,8.174,8.387,8.5
11/21/2020,4,8.144,8.178,8.389,8.5
11/27/2020,4,8.154,8.181,8.391,8.5
12/4/2020,4,8.163,8.185,8.393,8.5
12/11/2020,4,8.172,8.189,8.394,8.5
12/18/2020,4,8.181,8.193,8.396,8.5
12/25/2020,4,8.191,8.196,8.398,8.5
1/1/2021,4,8.2,8.2,8.4,8.5
1/8/2021,4,8.2,8.202,8.4,8.5
1/15/2021,4,8.2,8.204,8.4,8.5
1/22/2021,4,8.2,8.206,8.4,8.5
1/29/2021,4,8.2,8.207,8.4,8.5
2/5/2021,4,8.2,8.209,8.4,8.5
2/11/2021,4,8.2,8.211,8.4,8.5
2/18/2021,4,8.2,8.213,8.4,8.5
2/25/2021,4,8.2,8.215,8.4,8.5
3/4/2021,4,8.2,8.217,8.4,8.5
3/10/2021,4,8.2,8.219,8.4,8.5
3/17/2021,4,8.2,8.22,8.4,8.5
3/24/2021,4,8.2,8.222,8.4,8.5
3/31/2021,4,8.2,8.224,8.4,8.5
4/7/2021,4,8.2,8.226,8.4,8.5
4/13/2021,4,8.2,8.228,8.4,8.5
4/19/2021,4,8.2,8.23,8.4,8.5
4/26/2021,4,8.2,8.231,8.4,8.5
5/2/2021,4,8.2,8.233,8.4,8.5
5/9/2021,4,8.2,8.235,8.4,8.5
5/15/2021,4,8.2,8.237,8.4,8.5
5/22/2021,4,8.2,8.239,8.4,8.5
5/28/2021,4,8.2,8.241,8.4,8.5
6/4/2021,4,8.2,8.243,8.4,8.5
6/11/2021,4,8.2,8.244,8.4,8.5
6/18/2021,4,8.2,8.246,8.4,8.5
6/25/2021,4,8.2,8.248,8.4,8.5
7/2/2021,4,8.2,8.25,8.4,8.5
7/9/2021,4,8.2,8.252,8.4,8.5
7/16/2021,4,8.2,8.254,8.4,8.5
7/23/2021,4,8.2,8.256,8.4,8.5
7/30/2021,4,8.2,8.257,8.4,8.5
8/6/2021,4,8.2,8.259,8.4,8.5
8/13/2021,4,8.2,8.261,8.4,8.5
8/20/2021,4,8.2,8.263,8.4,8.5
8/27/2021,4,8.2,8.265,8.4,8.5
9/3/2021,4,8.2,8.267,8.4,8.5
9/10/2021,4,8.2,8.269,8.4,8.5
9/17/2021,4,8.2,8.27,8.4,8.5
9/24/2021,4,8.2,8.272,8.4,8.5
10/1/2021,4,8.2,8.274,8.4,8.5
10/8/2021,4,8.2,8.276,8.4,8.5
10/14/2021,4,8.2,8.278,8.4,8.5
10/21/2021,4,8.2,8.28,8.4,8.5
10/28/2021,4,8.2,8.281,8.4,8.5
11/4/2021,4,8.2,8.283,8.4,8.5
11/10/2021,4,8.2,8.285,8.4,8.5
11/17/2021,4,8.2,8.287,8.4,8.5
11/24/2021,4,8.2,8.289,8.4,8.5
12/1/2021,4,8.2,8.291,8.4,8.5
12/8/2021,4,8.2,8.293,8.4,8.5
12/15/2021,4,8.2,8.294,8.4,8.5
12/22/2021,4,8.2,8.296,8.4,8.5
12/29/2021,4,8.2,8.298,8.4,8.5
1/5/2022,4,8.2,8.3,8.4,8.5
1/12/2022,4,8.203,8.302,8.4,8.5
1/19/2022,4,8.206,8.303,8.4,8.5
1/26/2022,4,8.21,8.305,8.4,8.5
2/2/2022,4,8.213,8.306,8.4,8.5
2/10/2022,4,8.216,8.308,8.4,8.5
2/16/2022,4,8.219,8.31,8.4,8.5
