Date,Average,Loan Rate
01-02-2002,6.5,11.879
03-02-2002,6.5,11.884
05-02-2002,6.5,11.89
07-02-2002,6.5,11.895
10-02-2002,6.5,11.901
12-02-2002,6.5,11.906
14-02-2002,6.5,11.912
16-02-2002,6.5,11.917
19-02-2002,6.5,11.879
21-02-2002,6.5,11.84
23-02-2002,6.429,11.846
25-02-2002,6.357,11.851
27-02-2002,6.286,11.857
01-03-2002,6.214,11.862
03-03-2002,6.143,11.868
05-03-2002,6.071,11.873
07-03-2002,6,11.879
09-03-2002,6,11.84
14-03-2002,6,11.802
19-03-2002,6,11.807
24-03-2002,6,11.813
29-03-2002,6,11.818
03-04-2002,6,11.824
08-04-2002,6,11.829
13-04-2002,6,11.835
18-04-2002,6,11.84
23-04-2002,6,11.802
25-04-2002,6,11.764
27-04-2002,6,11.769
29-04-2002,6,11.775
01-05-2002,6,11.78
03-05-2002,6,11.786
05-05-2002,6,11.791
07-05-2002,6,11.797
09-05-2002,6,11.802
12-05-2002,6,11.764
14-05-2002,6,11.726
16-05-2002,5.964,11.731
19-05-2002,5.929,11.737
21-05-2002,5.893,11.742
23-05-2002,5.857,11.748
26-05-2002,5.821,11.753
28-05-2002,5.786,11.759
30-05-2002,5.75,11.764
02-06-2002,5.75,11.726
07-06-2002,5.75,11.688
13-06-2002,5.75,11.693
19-06-2002,5.75,11.699
24-06-2002,5.75,11.704
30-06-2002,5.75,11.71
06-07-2002,5.75,11.715
11-07-2002,5.75,11.721
17-07-2002,5.75,11.726
23-07-2002,5.75,11.688
25-07-2002,5.75,11.649
27-07-2002,5.75,11.655
29-07-2002,5.75,11.66
31-07-2002,5.75,11.666
03-08-2002,5.75,11.671
05-08-2002,5.75,11.677
07-08-2002,5.75,11.682
09-08-2002,5.75,11.688
12-08-2002,5.75,11.649
15-08-2002,5.75,11.611
18-08-2002,5.75,11.616
22-08-2002,5.75,11.622
25-08-2002,5.75,11.627
29-08-2002,5.75,11.633
01-09-2002,5.75,11.638
05-09-2002,5.75,11.644
08-09-2002,5.75,11.649
12-09-2002,5.75,11.611
17-09-2002,5.75,11.573
22-09-2002,5.75,11.578
28-09-2002,5.75,11.584
03-10-2002,5.75,11.589
09-10-2002,5.75,11.595
14-10-2002,5.75,11.6
20-10-2002,5.75,11.606
25-10-2002,5.75,11.611
31-10-2002,5.75,11.573
03-11-2002,5.75,11.534
06-11-2002,5.714,11.54
10-11-2002,5.679,11.545
13-11-2002,5.643,11.551
16-11-2002,5.607,11.556
20-11-2002,5.571,11.562
23-11-2002,5.536,11.567
26-11-2002,5.5,11.573
30-11-2002,5.5,11.534
02-12-2002,5.5,11.496
04-12-2002,5.5,11.501
06-12-2002,5.5,11.507
08-12-2002,5.5,11.512
11-12-2002,5.5,11.518
13-12-2002,5.5,11.523
15-12-2002,5.5,11.529
17-12-2002,5.5,11.534
20-12-2002,5.5,11.496
24-12-2002,5.5,11.458
29-12-2002,5.5,11.463
02-01-2003,5.5,11.469
07-01-2003,5.5,11.474
11-01-2003,5.5,11.48
16-01-2003,5.5,11.485
20-01-2003,5.5,11.491
25-01-2003,5.5,11.496
30-01-2003,5.5,11.458
01-02-2003,5.5,11.413
03-02-2003,5.5,11.419
05-02-2003,5.5,11.426
07-02-2003,5.5,11.432
10-02-2003,5.5,11.439
12-02-2003,5.5,11.445
14-02-2003,5.5,11.452
16-02-2003,5.5,11.458
19-02-2003,5.5,11.413
21-02-2003,5.5,11.368
23-02-2003,5.429,11.374
25-02-2003,5.357,11.381
27-02-2003,5.286,11.387
01-03-2003,5.214,11.394
03-03-2003,5.143,11.4
05-03-2003,5.071,11.407
07-03-2003,5,11.413
09-03-2003,5,11.368
14-03-2003,5,11.323
19-03-2003,5,11.329
24-03-2003,5,11.336
29-03-2003,5,11.342
03-04-2003,5,11.349
08-04-2003,5,11.355
13-04-2003,5,11.362
18-04-2003,5,11.368
23-04-2003,5,11.323
25-04-2003,5,11.278
27-04-2003,5,11.284
29-04-2003,5,11.291
01-05-2003,5,11.297
03-05-2003,5,11.304
05-05-2003,5,11.31
07-05-2003,5,11.317
09-05-2003,5,11.323
12-05-2003,5,11.278
14-05-2003,5,11.233
16-05-2003,5,11.239
19-05-2003,5,11.246
21-05-2003,5,11.252
23-05-2003,5,11.259
26-05-2003,5,11.265
28-05-2003,5,11.272
30-05-2003,5,11.278
02-06-2003,5,11.233
07-06-2003,5,11.188
13-06-2003,5,11.194
19-06-2003,5,11.201
24-06-2003,5,11.207
30-06-2003,5,11.214
06-07-2003,5,11.22
11-07-2003,5,11.227
17-07-2003,5,11.233
23-07-2003,5,11.188
25-07-2003,5,11.142
27-07-2003,4.929,11.149
29-07-2003,4.857,11.155
31-07-2003,4.786,11.162
03-08-2003,4.714,11.168
05-08-2003,4.643,11.175
07-08-2003,4.571,11.181
09-08-2003,4.5,11.188
12-08-2003,4.5,11.142
15-08-2003,4.5,11.097
18-08-2003,4.5,11.103
22-08-2003,4.5,11.11
25-08-2003,4.5,11.116
29-08-2003,4.5,11.123
01-09-2003,4.5,11.129
05-09-2003,4.5,11.136
08-09-2003,4.5,11.142
12-09-2003,4.5,11.097
17-09-2003,4.5,11.052
22-09-2003,4.5,11.058
28-09-2003,4.5,11.065
03-10-2003,4.5,11.071
09-10-2003,4.5,11.078
14-10-2003,4.5,11.084
20-10-2003,4.5,11.091
25-10-2003,4.5,11.097
31-10-2003,4.5,11.052
03-11-2003,4.5,11.007
06-11-2003,4.5,11.013
10-11-2003,4.5,11.02
13-11-2003,4.5,11.026
16-11-2003,4.5,11.033
20-11-2003,4.5,11.039
23-11-2003,4.5,11.046
26-11-2003,4.5,11.052
30-11-2003,4.5,11.007
02-12-2003,4.5,10.962
04-12-2003,4.5,10.968
06-12-2003,4.5,10.975
08-12-2003,4.5,10.981
11-12-2003,4.5,10.988
13-12-2003,4.5,10.994
15-12-2003,4.5,11.001
17-12-2003,4.5,11.007
20-12-2003,4.5,10.962
24-12-2003,4.5,10.917
29-12-2003,4.5,10.923
02-01-2004,4.5,10.93
07-01-2004,4.5,10.936
11-01-2004,4.5,10.943
16-01-2004,4.5,10.949
20-01-2004,4.5,10.956
25-01-2004,4.5,10.962
30-01-2004,4.5,10.917
01-02-2004,4.5,10.903
03-02-2004,4.5,10.905
05-02-2004,4.5,10.907
07-02-2004,4.5,10.909
10-02-2004,4.5,10.911
12-02-2004,4.5,10.913
14-02-2004,4.5,10.915
16-02-2004,4.5,10.917
19-02-2004,4.5,10.903
21-02-2004,4.5,10.889
23-02-2004,4.5,10.891
25-02-2004,4.5,10.893
27-02-2004,4.5,10.895
29-02-2004,4.5,10.897
02-03-2004,4.5,10.899
04-03-2004,4.5,10.901
06-03-2004,4.5,10.903
09-03-2004,4.5,10.889
14-03-2004,4.5,10.875
19-03-2004,4.5,10.877
24-03-2004,4.5,10.879
29-03-2004,4.5,10.881
03-04-2004,4.5,10.883
08-04-2004,4.5,10.885
13-04-2004,4.5,10.887
18-04-2004,4.5,10.889
23-04-2004,4.5,10.875
25-04-2004,4.5,10.861
27-04-2004,4.5,10.863
29-04-2004,4.5,10.865
01-05-2004,4.5,10.867
03-05-2004,4.5,10.869
05-05-2004,4.5,10.871
07-05-2004,4.5,10.873
09-05-2004,4.5,10.875
12-05-2004,4.5,10.861
14-05-2004,4.5,10.847
16-05-2004,4.5,10.849
19-05-2004,4.5,10.851
21-05-2004,4.5,10.853
23-05-2004,4.5,10.855
26-05-2004,4.5,10.857
28-05-2004,4.5,10.859
30-05-2004,4.5,10.861
02-06-2004,4.5,10.847
07-06-2004,4.5,10.834
13-06-2004,4.5,10.836
19-06-2004,4.5,10.838
24-06-2004,4.5,10.84
30-06-2004,4.5,10.841
06-07-2004,4.5,10.843
11-07-2004,4.5,10.845
17-07-2004,4.5,10.847
23-07-2004,4.5,10.834
25-07-2004,4.5,10.82
27-07-2004,4.5,10.822
29-07-2004,4.5,10.824
31-07-2004,4.5,10.826
03-08-2004,4.5,10.828
05-08-2004,4.5,10.83
07-08-2004,4.5,10.832
09-08-2004,4.5,10.834
12-08-2004,4.5,10.82
15-08-2004,4.5,10.806
18-08-2004,4.5,10.808
22-08-2004,4.5,10.81
25-08-2004,4.5,10.812
29-08-2004,4.5,10.814
01-09-2004,4.5,10.816
05-09-2004,4.5,10.818
08-09-2004,4.5,10.82
12-09-2004,4.5,10.806
17-09-2004,4.75,10.792
22-09-2004,4.714,10.794
28-09-2004,4.679,10.796
03-10-2004,4.643,10.798
09-10-2004,4.607,10.8
14-10-2004,4.571,10.802
20-10-2004,4.536,10.804
25-10-2004,4.5,10.806
31-10-2004,4.75,10.792
03-11-2004,6,10.778
06-11-2004,5.821,10.78
10-11-2004,5.643,10.782
13-11-2004,5.464,10.784
16-11-2004,5.286,10.786
20-11-2004,5.107,10.788
23-11-2004,4.929,10.79
26-11-2004,4.75,10.792
30-11-2004,6,10.778
02-12-2004,6,10.764
04-12-2004,6,10.766
06-12-2004,6,10.768
08-12-2004,6,10.77
11-12-2004,6,10.772
13-12-2004,6,10.774
15-12-2004,6,10.776
17-12-2004,6,10.778
20-12-2004,6,10.764
24-12-2004,6,10.75
29-12-2004,6,10.752
02-01-2005,6,10.754
07-01-2005,6,10.756
11-01-2005,6,10.758
16-01-2005,6,10.76
20-01-2005,6,10.762
25-01-2005,6,10.764
30-01-2005,6,10.75
01-02-2005,6,10.75
03-02-2005,6,10.755
05-02-2005,6,10.76
07-02-2005,6,10.765
10-02-2005,6,10.771
12-02-2005,6,10.776
14-02-2005,6,10.781
16-02-2005,6,10.786
19-02-2005,6,10.786
21-02-2005,6,10.786
23-02-2005,6,10.791
25-02-2005,6,10.797
27-02-2005,6,10.802
01-03-2005,6,10.807
03-03-2005,6,10.812
05-03-2005,6,10.818
07-03-2005,6,10.823
09-03-2005,6,10.823
14-03-2005,6,10.823
19-03-2005,6,10.828
24-03-2005,6,10.834
29-03-2005,6,10.839
03-04-2005,6,10.844
08-04-2005,6,10.849
13-04-2005,6,10.855
18-04-2005,6,10.86
23-04-2005,6,10.86
25-04-2005,6,10.86
27-04-2005,6,10.865
29-04-2005,6,10.87
01-05-2005,6,10.875
03-05-2005,6,10.881
05-05-2005,6,10.886
07-05-2005,6,10.891
09-05-2005,6,10.896
12-05-2005,6,10.896
14-05-2005,6,10.896
16-05-2005,6,10.901
19-05-2005,6,10.907
21-05-2005,6,10.912
23-05-2005,6,10.917
26-05-2005,6,10.922
28-05-2005,6,10.928
30-05-2005,6,10.933
02-06-2005,6,10.933
07-06-2005,6,10.933
13-06-2005,6,10.938
19-06-2005,6,10.943
24-06-2005,6,10.948
30-06-2005,6,10.954
06-07-2005,6,10.959
11-07-2005,6,10.964
17-07-2005,6,10.969
23-07-2005,6,10.969
25-07-2005,6,10.969
27-07-2005,6,10.974
29-07-2005,6,10.98
31-07-2005,6,10.985
03-08-2005,6,10.99
05-08-2005,6,10.995
07-08-2005,6,11.001
09-08-2005,6,11.006
12-08-2005,6,11.006
15-08-2005,6,11.006
18-08-2005,6,11.011
22-08-2005,6,11.016
25-08-2005,6,11.021
29-08-2005,6,11.027
01-09-2005,6,11.032
05-09-2005,6,11.037
08-09-2005,6,11.042
12-09-2005,6,11.042
17-09-2005,6,11.042
22-09-2005,6,11.047
28-09-2005,6,11.052
03-10-2005,6,11.057
09-10-2005,6,11.063
14-10-2005,6,11.068
20-10-2005,6,11.073
25-10-2005,6,11.078
31-10-2005,6,11.078
03-11-2005,6.23,11.078
06-11-2005,6.197,11.083
10-11-2005,6.164,11.089
13-11-2005,6.131,11.094
16-11-2005,6.099,11.099
20-11-2005,6.066,11.104
23-11-2005,6.033,11.11
26-11-2005,6,11.115
30-11-2005,6.23,11.115
02-12-2005,6.25,11.115
04-12-2005,6.247,11.12
06-12-2005,6.244,11.126
08-12-2005,6.241,11.131
11-12-2005,6.239,11.136
13-12-2005,6.236,11.141
15-12-2005,6.233,11.147
17-12-2005,6.23,11.152
20-12-2005,6.25,11.152
24-12-2005,6.5,11.152
29-12-2005,6.464,11.157
02-01-2006,6.429,11.162
07-01-2006,6.393,11.167
11-01-2006,6.357,11.173
16-01-2006,6.321,11.178
20-01-2006,6.286,11.183
25-01-2006,6.25,11.188
30-01-2006,6.5,11.188
01-02-2006,6.5,11.188
03-02-2006,6.5,11.21
05-02-2006,6.5,11.232
07-02-2006,6.5,11.254
10-02-2006,6.5,11.275
12-02-2006,6.5,11.297
14-02-2006,6.5,11.319
16-02-2006,6.5,11.341
19-02-2006,6.5,11.341
21-02-2006,6.5,11.341
23-02-2006,6.5,11.363
25-02-2006,6.5,11.385
27-02-2006,6.5,11.407
01-03-2006,6.5,11.428
03-03-2006,6.5,11.45
05-03-2006,6.5,11.472
07-03-2006,6.5,11.494
09-03-2006,6.5,11.494
14-03-2006,6.5,11.494
19-03-2006,6.5,11.516
24-03-2006,6.5,11.537
29-03-2006,6.5,11.559
03-04-2006,6.5,11.581
08-04-2006,6.5,11.603
13-04-2006,6.5,11.624
18-04-2006,6.5,11.646
23-04-2006,6.5,11.646
25-04-2006,6.5,11.646
27-04-2006,6.5,11.668
29-04-2006,6.5,11.69
01-05-2006,6.5,11.712
03-05-2006,6.5,11.733
05-05-2006,6.5,11.755
07-05-2006,6.5,11.777
09-05-2006,6.5,11.799
12-05-2006,6.5,11.799
14-05-2006,6.75,11.799
16-05-2006,6.714,11.821
19-05-2006,6.679,11.843
21-05-2006,6.643,11.865
23-05-2006,6.607,11.886
26-05-2006,6.571,11.908
28-05-2006,6.536,11.93
30-05-2006,6.5,11.952
02-06-2006,6.75,11.952
07-06-2006,7,11.952
13-06-2006,6.964,11.974
19-06-2006,6.929,11.996
24-06-2006,6.893,12.018
30-06-2006,6.857,12.039
06-07-2006,6.821,12.061
11-07-2006,6.786,12.083
17-07-2006,6.75,12.105
23-07-2006,7,12.105
25-07-2006,7,12.105
27-07-2006,7,12.127
29-07-2006,7,12.148
31-07-2006,7,12.17
03-08-2006,7,12.192
05-08-2006,7,12.214
07-08-2006,7,12.235
09-08-2006,7,12.257
12-08-2006,7,12.257
15-08-2006,7,12.257
18-08-2006,7,12.279
22-08-2006,7,12.301
25-08-2006,7,12.323
29-08-2006,7,12.344
01-09-2006,7,12.366
05-09-2006,7,12.388
08-09-2006,7,12.41
12-09-2006,7,12.41
17-09-2006,7,12.41
22-09-2006,7,12.432
28-09-2006,7,12.454
03-10-2006,7,12.476
09-10-2006,7,12.497
14-10-2006,7,12.519
20-10-2006,7,12.541
25-10-2006,7,12.563
31-10-2006,7,12.563
03-11-2006,7,12.563
06-11-2006,7,12.585
10-11-2006,7,12.607
13-11-2006,7,12.629
16-11-2006,7,12.65
20-11-2006,7,12.672
23-11-2006,7,12.694
26-11-2006,7,12.716
30-11-2006,7,12.716
02-12-2006,7,12.716
04-12-2006,7,12.738
06-12-2006,7,12.759
08-12-2006,7,12.781
11-12-2006,7,12.803
13-12-2006,7,12.825
15-12-2006,7,12.846
17-12-2006,7,12.868
20-12-2006,7,12.868
24-12-2006,7,12.868
29-12-2006,7,12.89
02-01-2007,7,12.912
07-01-2007,7,12.934
11-01-2007,7,12.955
16-01-2007,7,12.977
20-01-2007,7,12.999
25-01-2007,7,13.021
30-01-2007,7,13.021
01-02-2007,7,13.021
03-02-2007,7,13.024
05-02-2007,7,13.028
07-02-2007,7,13.031
10-02-2007,7,13.035
12-02-2007,7,13.038
14-02-2007,7,13.042
16-02-2007,7,13.045
19-02-2007,7,13.045
21-02-2007,7,13.045
23-02-2007,7,13.049
25-02-2007,7,13.052
27-02-2007,7,13.056
01-03-2007,7,13.059
03-03-2007,7,13.063
05-03-2007,7,13.066
07-03-2007,7,13.07
09-03-2007,7,13.07
14-03-2007,7,13.07
19-03-2007,7,13.073
24-03-2007,7,13.077
29-03-2007,7,13.08
03-04-2007,7,13.084
08-04-2007,7,13.087
13-04-2007,7,13.091
18-04-2007,7,13.094
23-04-2007,7,13.094
25-04-2007,7,13.094
27-04-2007,7,13.097
29-04-2007,7,13.101
01-05-2007,7,13.104
03-05-2007,7,13.108
05-05-2007,7,13.111
07-05-2007,7,13.115
09-05-2007,7,13.118
12-05-2007,7,13.118
14-05-2007,7,13.118
16-05-2007,7,13.121
19-05-2007,7,13.125
21-05-2007,7,13.128
23-05-2007,7,13.132
26-05-2007,7,13.135
28-05-2007,7,13.139
30-05-2007,7,13.142
02-06-2007,7,13.142
07-06-2007,7,13.142
13-06-2007,7,13.145
19-06-2007,7,13.149
24-06-2007,7,13.152
30-06-2007,7,13.156
06-07-2007,7,13.159
11-07-2007,7,13.163
17-07-2007,7,13.166
23-07-2007,7,13.166
25-07-2007,7,13.166
27-07-2007,7,13.17
29-07-2007,7,13.173
31-07-2007,7,13.177
03-08-2007,7,13.18
05-08-2007,7,13.184
07-08-2007,7,13.187
09-08-2007,7,13.191
12-08-2007,7,13.191
15-08-2007,7,13.191
18-08-2007,7,13.194
22-08-2007,7,13.198
25-08-2007,7,13.201
29-08-2007,7,13.205
01-09-2007,7,13.208
05-09-2007,7,13.212
08-09-2007,7,13.215
12-09-2007,7,13.215
17-09-2007,7,13.215
22-09-2007,7,13.218
28-09-2007,7,13.222
