Date,Average,Gdp Per Capita
30-01-2002,6.5,468.845
01-02-2002,6.5,468.845
03-02-2002,6.5,469.738
05-02-2002,6.5,470.631
07-02-2002,6.5,471.524
10-02-2002,6.5,472.416
12-02-2002,6.5,473.309
14-02-2002,6.5,474.202
16-02-2002,6.5,475.095
19-02-2002,6.5,475.095
21-02-2002,6.5,475.095
23-02-2002,6.429,475.988
25-02-2002,6.357,476.881
27-02-2002,6.286,477.774
01-03-2002,6.214,478.666
03-03-2002,6.143,479.559
05-03-2002,6.071,480.452
07-03-2002,6,481.345
09-03-2002,6,481.345
14-03-2002,6,481.345
19-03-2002,6,482.238
24-03-2002,6,483.131
29-03-2002,6,484.024
03-04-2002,6,484.916
08-04-2002,6,485.809
13-04-2002,6,486.702
18-04-2002,6,487.595
23-04-2002,6,487.595
25-04-2002,6,487.595
27-04-2002,6,488.488
29-04-2002,6,489.381
01-05-2002,6,490.274
03-05-2002,6,491.166
05-05-2002,6,492.059
07-05-2002,6,492.952
09-05-2002,6,493.845
12-05-2002,6,493.845
14-05-2002,6,493.845
16-05-2002,5.964,494.738
19-05-2002,5.929,495.631
21-05-2002,5.893,496.524
23-05-2002,5.857,497.416
26-05-2002,5.821,498.309
28-05-2002,5.786,499.202
30-05-2002,5.75,500.095
02-06-2002,5.75,500.095
07-06-2002,5.75,500.095
13-06-2002,5.75,500.988
19-06-2002,5.75,501.881
24-06-2002,5.75,502.774
30-06-2002,5.75,503.666
06-07-2002,5.75,504.559
11-07-2002,5.75,505.452
17-07-2002,5.75,506.345
23-07-2002,5.75,506.345
25-07-2002,5.75,506.345
27-07-2002,5.75,507.238
29-07-2002,5.75,508.131
31-07-2002,5.75,509.024
03-08-2002,5.75,509.916
05-08-2002,5.75,510.809
07-08-2002,5.75,511.702
09-08-2002,5.75,512.595
12-08-2002,5.75,512.595
15-08-2002,5.75,512.595
18-08-2002,5.75,513.488
22-08-2002,5.75,514.381
25-08-2002,5.75,515.274
29-08-2002,5.75,516.166
01-09-2002,5.75,517.059
05-09-2002,5.75,517.952
08-09-2002,5.75,518.845
12-09-2002,5.75,518.845
17-09-2002,5.75,518.845
22-09-2002,5.75,519.738
28-09-2002,5.75,520.631
03-10-2002,5.75,521.524
09-10-2002,5.75,522.416
14-10-2002,5.75,523.309
20-10-2002,5.75,524.202
25-10-2002,5.75,525.095
31-10-2002,5.75,525.095
03-11-2002,5.75,525.095
06-11-2002,5.714,525.988
10-11-2002,5.679,526.881
13-11-2002,5.643,527.774
16-11-2002,5.607,528.666
20-11-2002,5.571,529.559
23-11-2002,5.536,530.452
26-11-2002,5.5,531.345
30-11-2002,5.5,531.345
02-12-2002,5.5,531.345
04-12-2002,5.5,532.238
06-12-2002,5.5,533.131
08-12-2002,5.5,534.024
11-12-2002,5.5,534.916
13-12-2002,5.5,535.809
15-12-2002,5.5,536.702
17-12-2002,5.5,537.595
20-12-2002,5.5,537.595
24-12-2002,5.5,537.595
29-12-2002,5.5,538.488
02-01-2003,5.5,539.381
07-01-2003,5.5,540.274
11-01-2003,5.5,541.166
16-01-2003,5.5,542.059
20-01-2003,5.5,542.952
25-01-2003,5.5,543.845
30-01-2003,5.5,543.845
01-02-2003,5.5,543.845
03-02-2003,5.5,544.801
05-02-2003,5.5,545.756
07-02-2003,5.5,546.712
10-02-2003,5.5,547.667
12-02-2003,5.5,548.623
14-02-2003,5.5,549.578
16-02-2003,5.5,550.534
19-02-2003,5.5,550.534
21-02-2003,5.5,550.534
23-02-2003,5.429,551.489
25-02-2003,5.357,552.445
27-02-2003,5.286,553.4
01-03-2003,5.214,554.356
03-03-2003,5.143,555.311
05-03-2003,5.071,556.267
07-03-2003,5,557.222
09-03-2003,5,557.222
14-03-2003,5,557.222
19-03-2003,5,558.178
24-03-2003,5,559.133
29-03-2003,5,560.089
03-04-2003,5,561.044
08-04-2003,5,562
13-04-2003,5,562.955
18-04-2003,5,563.911
23-04-2003,5,563.911
25-04-2003,5,563.911
27-04-2003,5,564.866
29-04-2003,5,565.822
01-05-2003,5,566.777
03-05-2003,5,567.733
05-05-2003,5,568.688
07-05-2003,5,569.644
09-05-2003,5,570.599
12-05-2003,5,570.599
14-05-2003,5,570.599
16-05-2003,5,571.555
19-05-2003,5,572.51
21-05-2003,5,573.466
23-05-2003,5,574.421
26-05-2003,5,575.377
28-05-2003,5,576.332
30-05-2003,5,577.288
02-06-2003,5,577.288
07-06-2003,5,577.288
13-06-2003,5,578.243
19-06-2003,5,579.199
24-06-2003,5,580.154
30-06-2003,5,581.11
06-07-2003,5,582.065
11-07-2003,5,583.021
17-07-2003,5,583.976
23-07-2003,5,583.976
25-07-2003,5,583.976
27-07-2003,4.929,584.932
29-07-2003,4.857,585.887
31-07-2003,4.786,586.843
03-08-2003,4.714,587.798
05-08-2003,4.643,588.754
07-08-2003,4.571,589.709
09-08-2003,4.5,590.665
12-08-2003,4.5,590.665
15-08-2003,4.5,590.665
18-08-2003,4.5,591.621
22-08-2003,4.5,592.576
25-08-2003,4.5,593.532
29-08-2003,4.5,594.487
01-09-2003,4.5,595.443
05-09-2003,4.5,596.398
08-09-2003,4.5,597.354
12-09-2003,4.5,597.354
17-09-2003,4.5,597.354
22-09-2003,4.5,598.309
28-09-2003,4.5,599.265
03-10-2003,4.5,600.22
09-10-2003,4.5,601.176
14-10-2003,4.5,602.131
20-10-2003,4.5,603.087
25-10-2003,4.5,604.042
31-10-2003,4.5,604.042
03-11-2003,4.5,604.042
06-11-2003,4.5,604.998
10-11-2003,4.5,605.953
13-11-2003,4.5,606.909
16-11-2003,4.5,607.864
20-11-2003,4.5,608.82
23-11-2003,4.5,609.775
26-11-2003,4.5,610.731
30-11-2003,4.5,610.731
02-12-2003,4.5,610.731
04-12-2003,4.5,611.686
06-12-2003,4.5,612.642
08-12-2003,4.5,613.597
11-12-2003,4.5,614.553
13-12-2003,4.5,615.508
15-12-2003,4.5,616.464
17-12-2003,4.5,617.419
20-12-2003,4.5,617.419
24-12-2003,4.5,617.419
29-12-2003,4.5,618.375
02-01-2004,4.5,619.33
07-01-2004,4.5,620.286
11-01-2004,4.5,621.241
16-01-2004,4.5,622.197
20-01-2004,4.5,623.152
25-01-2004,4.5,624.108
30-01-2004,4.5,624.108
01-02-2004,4.5,624.108
03-02-2004,4.5,625.137
05-02-2004,4.5,626.165
07-02-2004,4.5,627.194
10-02-2004,4.5,628.222
12-02-2004,4.5,629.251
14-02-2004,4.5,630.279
16-02-2004,4.5,631.308
19-02-2004,4.5,631.308
21-02-2004,4.5,631.308
23-02-2004,4.5,632.337
25-02-2004,4.5,633.365
27-02-2004,4.5,634.394
29-02-2004,4.5,635.423
02-03-2004,4.5,636.452
04-03-2004,4.5,637.48
06-03-2004,4.5,638.509
09-03-2004,4.5,638.509
14-03-2004,4.5,638.509
19-03-2004,4.5,639.538
24-03-2004,4.5,640.566
29-03-2004,4.5,641.595
03-04-2004,4.5,642.623
08-04-2004,4.5,643.652
13-04-2004,4.5,644.68
18-04-2004,4.5,645.709
23-04-2004,4.5,645.709
25-04-2004,4.5,645.709
27-04-2004,4.5,646.738
29-04-2004,4.5,647.766
01-05-2004,4.5,648.795
03-05-2004,4.5,649.823
05-05-2004,4.5,650.852
07-05-2004,4.5,651.88
09-05-2004,4.5,652.909
12-05-2004,4.5,652.909
14-05-2004,4.5,652.909
16-05-2004,4.5,653.938
19-05-2004,4.5,654.966
21-05-2004,4.5,655.995
23-05-2004,4.5,657.024
26-05-2004,4.5,658.053
28-05-2004,4.5,659.081
30-05-2004,4.5,660.11
02-06-2004,4.5,660.11
07-06-2004,4.5,660.11
13-06-2004,4.5,661.139
19-06-2004,4.5,662.167
24-06-2004,4.5,663.196
30-06-2004,4.5,664.224
06-07-2004,4.5,665.253
11-07-2004,4.5,666.281
17-07-2004,4.5,667.31
23-07-2004,4.5,667.31
25-07-2004,4.5,667.31
27-07-2004,4.5,668.339
29-07-2004,4.5,669.367
31-07-2004,4.5,670.396
03-08-2004,4.5,671.424
05-08-2004,4.5,672.453
07-08-2004,4.5,673.481
09-08-2004,4.5,674.51
